storage_day,Rep,mean_temperature,min_temperature,max_temperature,temperature_std,temperature_range,temperature_excursion_count,time_above_safe_threshold_ratio,mean_rh,min_rh,max_rh,rh_std,rh_range,compressor_on_ratio,compressor_cycle_count,fridge_open_count,fridge_open_ratio,spoilage_class,spoilage_status,n_sensor_readings
0,1,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,75.0,1,1,1.25,0,FRESH,80
0,2,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,75.0,1,1,1.25,0,FRESH,80
0,3,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,75.0,1,1,1.25,0,FRESH,80
0,4,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,75.0,1,1,1.25,0,FRESH,80
0,5,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,75.0,1,1,1.25,0,FRESH,80
1,1,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
1,2,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
1,3,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
1,4,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
1,5,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
2,1,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,65.69343065693431,2,1,0.7299270072992701,0,FRESH,137
2,2,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,65.69343065693431,2,1,0.7299270072992701,0,FRESH,137
2,3,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,65.69343065693431,2,1,0.7299270072992701,0,FRESH,137
2,4,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,65.69343065693431,2,1,0.7299270072992701,0,FRESH,137
2,5,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,65.69343065693431,2,1,0.7299270072992701,0,FRESH,137
3,1,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
3,2,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
3,3,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
3,4,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
3,5,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,0,FRESH,138
4,1,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,63.76811594202898,3,1,0.7246376811594203,0,FRESH,138
4,2,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,63.76811594202898,3,1,0.7246376811594203,0,FRESH,138
4,3,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,63.76811594202898,3,1,0.7246376811594203,0,FRESH,138
4,4,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,63.76811594202898,3,1,0.7246376811594203,0,FRESH,138
4,5,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,63.76811594202898,3,1,0.7246376811594203,0,FRESH,138
5,1,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
5,2,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
5,3,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
5,4,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
5,5,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
6,1,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
6,2,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
6,3,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
6,4,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
6,5,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,63.04347826086957,3,1,0.7246376811594203,1,WARNING,138
7,1,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,62.77372262773723,3,1,0.7299270072992701,1,WARNING,137
7,2,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,62.77372262773723,3,1,0.7299270072992701,1,WARNING,137
7,3,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,62.77372262773723,3,1,0.7299270072992701,1,WARNING,137
