storage_day,replicate,tpc_log10,coliform_log10,yeast_mold_log10,psychrophilic_log10,colour_appearance,body_texture,flavour,overall_acceptability,ph,moisture_pct,mean_temperature,min_temperature,max_temperature,temperature_std,temperature_range,temperature_excursion_count,time_above_safe_threshold_ratio,mean_rh,min_rh,max_rh,rh_std,rh_range,compressor_on_ratio,compressor_cycle_count,fridge_open_count,fridge_open_ratio,spoilage_class,spoilage_status
0,1,2.3010299956639813,,,,8.5,9.0,8.5,8.666666666666666,5.7,53.28,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1,1,0.0125,0,FRESH
0,2,2.0791812460476247,,,,8.5,8.5,8.5,8.5,5.98,52.55,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1,1,0.0125,0,FRESH
0,3,2.230448921378274,,,,9.0,8.5,9.0,8.833333333333334,5.84,53.47,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1,1,0.0125,0,FRESH
0,4,2.462397997898956,,,,9.0,8.5,8.5,8.666666666666666,5.9,53.06,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1,1,0.0125,0,FRESH
0,5,2.380211241711606,,,,8.5,8.5,8.5,8.5,5.84,52.37,4.43,2.3,7.0,1.2522379965485793,4.7,47,0.5875,37.43,35.3,40.0,1.2522379965485793,4.700000000000003,0.75,1,1,0.0125,0,FRESH
1,1,2.361727836017593,,,,8.5,9.0,8.5,8.666666666666666,5.82,52.69,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
1,2,2.4313637641589874,,,,8.5,8.5,8.5,8.5,5.67,52.92,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
1,3,2.6127838567197355,,,0.0,9.0,8.0,9.0,8.666666666666666,5.74,52.97,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
1,4,2.591064607026499,,,,8.5,8.5,8.0,8.333333333333334,5.91,52.38,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
1,5,2.4913616938342726,,,,8.5,8.5,8.5,8.5,5.76,52.04,4.067391304347826,2.3,5.7,1.0068002869960855,3.4000000000000004,75,0.5434782608695652,37.06739130434783,35.3,38.7,1.0068002869960857,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
2,1,2.6334684555795866,,,0.3010299956639812,8.0,8.5,8.0,8.166666666666666,5.82,52.68,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,0.656934306569343,2,1,0.0072992700729927005,0,FRESH
2,2,2.7403626894942437,,,0.0,8.5,8.5,8.5,8.5,5.65,51.7,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,0.656934306569343,2,1,0.0072992700729927005,0,FRESH
2,3,2.8808135922807914,,0.0,0.3010299956639812,8.5,8.0,8.5,8.333333333333334,5.79,52.23,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,0.656934306569343,2,1,0.0072992700729927005,0,FRESH
2,4,2.886490725172482,,,0.3010299956639812,8.5,8.5,8.0,8.333333333333334,5.73,52.48,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,0.656934306569343,2,1,0.0072992700729927005,0,FRESH
2,5,2.8750612633917,,,0.3010299956639812,8.0,8.5,8.5,8.333333333333334,5.57,52.07,3.7430656934306565,2.3,5.7,0.9826818377402317,3.4000000000000004,50,0.36496350364963503,36.74306569343065,35.3,38.7,0.9826818377402319,3.4000000000000057,0.656934306569343,2,1,0.0072992700729927005,0,FRESH
3,1,2.845098040014257,,0.0,0.6989700043360189,8.0,8.0,8.0,8.0,5.63,51.22,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
3,2,3.146128035678238,,0.47712125471966244,0.8450980400142568,8.0,8.5,8.0,8.166666666666666,5.69,52.6,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
3,3,3.041392685158225,,0.47712125471966244,0.7781512503836436,8.0,8.0,8.5,8.166666666666666,5.64,52.01,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
3,4,2.9542425094393248,,0.3010299956639812,0.6989700043360189,8.0,8.0,7.5,7.833333333333333,5.56,51.9,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
3,5,3.0791812460476247,,0.3010299956639812,0.47712125471966244,7.5,8.5,8.0,8.0,5.69,51.65,3.9456521739130435,2.3,5.7,0.9778058523112422,3.4000000000000004,66,0.4782608695652174,36.94565217391305,35.3,38.7,0.9778058523112422,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,0,FRESH
4,1,3.380211241711606,,0.3010299956639812,1.0413926851582251,7.5,7.5,8.0,7.666666666666667,5.54,51.1,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,0,FRESH
4,2,3.4149733479708178,0.0,0.7781512503836436,1.255272505103306,8.0,8.0,7.5,7.833333333333333,5.5,50.63,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,0,FRESH
4,3,3.146128035678238,,0.6020599913279624,1.1760912590556813,7.5,8.0,8.0,7.833333333333333,5.53,52.21,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,0,FRESH
4,4,3.380211241711606,,0.6989700043360189,1.1139433523068367,7.5,8.0,7.5,7.666666666666667,5.54,52.08,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,0,FRESH
4,5,3.4913616938342726,,0.6020599913279624,0.9030899869919435,7.0,8.0,7.5,7.5,5.47,51.48,4.010869565217392,2.3,5.7,0.9924851535857939,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.992485153585794,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,0,FRESH
5,1,3.4913616938342726,0.3010299956639812,0.6989700043360189,1.505149978319906,7.0,7.0,7.5,7.166666666666667,5.42,51.2,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
5,2,3.6532125137753435,0.0,0.8450980400142568,1.505149978319906,7.5,7.5,7.5,7.5,5.5,51.4,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
5,3,3.7708520116421442,0.3010299956639812,0.6020599913279624,1.3222192947339193,7.0,7.5,7.0,7.166666666666667,5.48,50.62,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
5,4,3.6989700043360187,0.3010299956639812,0.9542425094393249,1.6334684555795864,7.0,7.5,7.0,7.166666666666667,5.52,50.71,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
5,5,3.591064607026499,0.3010299956639812,0.8450980400142568,1.4913616938342726,6.5,7.5,7.5,7.166666666666667,5.55,51.07,4.056521739130434,2.3,5.7,0.9851032846414979,3.4000000000000004,70,0.5072463768115942,37.05652173913043,35.3,38.7,0.985103284641498,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
6,1,3.845098040014257,0.3010299956639812,1.1139433523068367,1.7634279935629373,6.5,6.5,7.0,6.666666666666667,5.41,50.41,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
6,2,4.146128035678238,0.6989700043360189,0.9030899869919435,1.7781512503836436,7.0,7.0,7.0,7.0,5.51,50.7,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
6,3,3.9030899869919438,0.47712125471966244,1.0,1.8976270912904414,6.5,7.0,7.0,6.833333333333333,5.4,51.46,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
6,4,4.0,0.6020599913279624,1.1760912590556813,1.9493900066449128,6.0,7.0,6.5,6.5,5.41,50.19,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
6,5,4.079181246047625,0.6020599913279624,0.7781512503836436,1.7481880270062005,6.5,7.5,7.0,7.0,5.39,51.29,4.050000000000001,2.3,5.7,1.0181149105157496,3.4000000000000004,74,0.5362318840579711,37.050000000000004,35.3,38.7,1.0181149105157496,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,1,WARNING
7,1,4.204119982655925,0.47712125471966244,1.1760912590556813,2.230448921378274,6.0,6.0,6.5,6.166666666666667,5.23,50.4,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,1,WARNING
7,2,4.176091259055681,0.6989700043360189,1.0,1.9030899869919435,6.5,6.5,6.5,6.5,5.38,50.65,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,1,WARNING
7,3,4.3979400086720375,0.8450980400142568,1.3010299956639813,2.2041199826559246,6.0,6.5,6.0,6.166666666666667,5.36,50.16,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,1,WARNING
7,4,3.9030899869919438,0.6020599913279624,1.1760912590556813,2.3979400086720375,5.5,6.5,6.5,6.166666666666667,5.29,51.11,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,1,WARNING
7,5,4.204119982655925,0.6989700043360189,1.1139433523068367,2.2041199826559246,6.0,7.0,6.5,6.5,5.47,50.21,3.9868613138686135,2.3,5.7,1.00450209318782,3.4000000000000004,68,0.49635036496350365,36.98686131386861,35.3,38.7,1.0045020931878201,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,1,WARNING
